ubicacion;subUbicacion;clase;subclase;nombre;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
ELECTRICIDAD [1ER PISO A];ELECTRICIDAD [1ER PISO A];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [1ER PISO B];ELECTRICIDAD [1ER PISO B];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [1ER PISO B];ELECTRICIDAD [1ER PISO B];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [1ER PISO B];ELECTRICIDAD [1ER PISO B];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [1ER PISO C];ELECTRICIDAD [1ER PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [1ER PISO C];ELECTRICIDAD [1ER PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [1ER PISO C];ELECTRICIDAD [1ER PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [1ER PISO D];ELECTRICIDAD [1ER PISO D];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [1ER PISO D];ELECTRICIDAD [1ER PISO D];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [2DO PISO C];ELECTRICIDAD [2DO PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [2DO PISO C];ELECTRICIDAD [2DO PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [2DO PISO C];ELECTRICIDAD [2DO PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [3ER PISO C];ELECTRICIDAD [3ER PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [3ER PISO C];ELECTRICIDAD [3ER PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [4TO PISO C];ELECTRICIDAD [4TO PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [4TO PISO C];ELECTRICIDAD [4TO PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [5TO PISO C];ELECTRICIDAD [5TO PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [5TO PISO C];ELECTRICIDAD [5TO PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [5TO PISO C];ELECTRICIDAD [5TO PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [5TO PISO C];ELECTRICIDAD [5TO PISO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [SUBTERRANEO C];ELECTRICIDAD [SUBTERRANEO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [SUBTERRANEO C];ELECTRICIDAD [SUBTERRANEO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [SUBTERRANEO C];ELECTRICIDAD [SUBTERRANEO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [SUBTERRANEO C];ELECTRICIDAD [SUBTERRANEO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [SUBTERRANEO C];ELECTRICIDAD [SUBTERRANEO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [SUBTERRANEO C];ELECTRICIDAD [SUBTERRANEO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [SUBTERRANEO C];ELECTRICIDAD [SUBTERRANEO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [ZOCALO A];ELECTRICIDAD [ZOCALO A];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [ZOCALO B];ELECTRICIDAD [ZOCALO B];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [ZOCALO B];ELECTRICIDAD [ZOCALO B];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [ZOCALO C];ELECTRICIDAD [ZOCALO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [ZOCALO C];ELECTRICIDAD [ZOCALO C];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [ZOCALO D];ELECTRICIDAD [ZOCALO D];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
ELECTRICIDAD [ZOCALO E];ELECTRICIDAD [ZOCALO E];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
PLANTA AGUA SERVIDAS [SALA ELECTRICA PLANTA ELEVADORA];PLANTA AGUA SERVIDAS [SALA ELECTRICA PLANTA ELEVADORA];Apoyo industrial;Electrica;TABLERO ELECTRICO;LEGRAND;LEGRAND;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. A zocalo y 1 piso;Apoyo industrial;Extraccion;U.M.A;York;CMAC AG.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. B central de alimentacion;Apoyo industrial;Extraccion;U.M.A;York;CMAC BZ.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. B kinesiologia, rayo x;Apoyo industrial;Extraccion;U.M.A;York;CMAC B1.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edificio C pabellon quirurgico;Apoyo industrial;Extraccion;U.M.A;York;CMCM C1.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C pabellon de procedimiento;Apoyo industrial;Extraccion;U.M.A;York;CMCM C1.2;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C sala de parto 1;Apoyo industrial;Extraccion;U.M.A;York;CMCM C1.3;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C sala de parto 2;Apoyo industrial;Extraccion;U.M.A;York;CMCM C1.4;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C circulacion pabellones;Apoyo industrial;Extraccion;U.M.A;York;CMCM C.15;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C post operados;Apoyo industrial;Extraccion;U.M.A;York;CMCM C1.6;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C esterilizacion;Apoyo industrial;Extraccion;U.M.A;York;CMCM CZ.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C auditorio;Apoyo industrial;Extraccion;U.M.A;York;CMCM 01i;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C uma general;Apoyo industrial;Extraccion;U.M.A;York;CMAC CG.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C RRHH;Apoyo industrial;Extraccion;U.M.A;York;CMAC C2.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. D vestidores, guardarropia;Apoyo industrial;Extraccion;U.M.A;York;CMAC DZ.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. D 1 piso laboratorio;Apoyo industrial;Extraccion;U.M.A;York;CMAC D1.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. E lavanderia;Apoyo industrial;Extraccion;U.M.A;York;CMAC EZ.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. E 1 piso;Apoyo industrial;Extraccion;U.M.A;York;CMAC E1.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. F abarca zocalo y 1 piso;Apoyo industrial;Extraccion;U.M.A;York;CMAC FG.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. G abarca zocalo y 1 piso;Apoyo industrial;Extraccion;U.M.A;York;CMAC GG.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. B comedores;Apoyo industrial;Extraccion;U.M.A;York;CMAC B03;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. A zocalo y 1 piso;Apoyo industrial;Extraccion;Vex;York;VEC AG.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. B zocalo;Apoyo industrial;Extraccion;Vex;York;VEC BZ.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. b kinesiologia, rayo x;Apoyo industrial;Extraccion;Vex;York;VEC B1.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C pabellon quirurgico;Apoyo industrial;Extraccion;Vex;York;VEC C1.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C pabellon de procedimiento;Apoyo industrial;Extraccion;Vex;York;VEC C1.2;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C  sala de parto 1;Apoyo industrial;Extraccion;Vex;York;VEC  C1.3;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C sala de parto 2;Apoyo industrial;Extraccion;Vex;York;VEC C1.4;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C circulacion pabellone4s;Apoyo industrial;Extraccion;Vex;York;VEC C1.5;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C Post operados;Apoyo industrial;Extraccion;Vex;York;VEC C1.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C Esterilizacion;Apoyo industrial;Extraccion;Vex;York;VEC CZ.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C Auditorio;Apoyo industrial;Extraccion;Vex;York;VEC 01E;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Vec  general;Apoyo industrial;Extraccion;Vex;York;VEC CG.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. C RRHH;Apoyo industrial;Extraccion;Vex;York;VEC C2.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. D Vestidores guardarropia;Apoyo industrial;Extraccion;Vex;York;VEC DZ.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. D Laboratorio;Apoyo industrial;Extraccion;Vex;York;VEC D1.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. E Lavanderia;Apoyo industrial;Extraccion;Vex;York;VEC EZ.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. E 1 piso;Apoyo industrial;Extraccion;Vex;York;VEC E1.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. f Abarca zocalo y 1 piso;Apoyo industrial;Extraccion;Vex;York;VEC FG.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. G zocalo y 1 piso;Apoyo industrial;Extraccion;Vex;York;VEC GG.1;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Edif. B zocalo;Apoyo industrial;Extraccion;Vex;York;VEC BZ.3;BUENO;;;;1;industrial;0;4;0
Piso Mecanico;Subterraneo;Apoyo industrial;Extraccion;Vex;York;VEC CS.1;BUENO;;;;1;industrial;0;4;0
Servicios Clinicos;HOSPITAL KALLVU LLANKA [TODAS LAS PLANTAS];Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;8300T TYPO: 2P270NF;BUENO;;;;1;industrial;0;4;0
Servicios Clinicos;HOSPITAL KALLVU LLANKA [TODAS LAS PLANTAS];Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;8300T TYPO: 2P270NF;BUENO;;;;1;industrial;0;4;0
Servicios Clinicos;HOSPITAL KALLVU LLANKA [TODAS LAS PLANTAS];Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;8300T TYPO: 2P270NF;BUENO;;;;1;industrial;0;4;0
Servicios Clinicos;HOSPITAL KALLVU LLANKA [TODAS LAS PLANTAS];Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;8300T TYPO: 2P270NF;BUENO;;;;1;industrial;0;4;0
Servicios Clinicos;HOSPITAL KALLVU LLANKA [TODAS LAS PLANTAS];Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;8300T TYPO: 2P270NF;BUENO;;;;1;industrial;0;4;0
Servicios Clinicos;HOSPITAL KALLVU LLANKA [TODAS LAS PLANTAS];Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;8300T TYPO: 2P270NF;BUENO;;;;1;industrial;0;4;0
Servicios Clinicos;HOSPITAL KALLVU LLANKA [TODAS LAS PLANTAS];Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;8300T TYPO: 2P270NF;BUENO;;;;1;industrial;0;4;0
Vacunatorio;VACUNATORIO;Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;3663SG;BUENO;;;;1;industrial;0;4;0
Vacunatorio;VACUNATORIO;Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;3663SG;BUENO;;;;1;industrial;0;4;0
Vacunatorio;VACUNATORIO;Apoyo industrial;Refrigeracion;REFRIGERADOR ;FENSA;3663SG;BUENO;;;;1;industrial;0;4;0
URGENCIA;URGENCIA;Apoyo industrial;Refrigeracion;REFRIGERADOR ;WHIRLPOOL;WRZ49;BUENO;;;;1;industrial;0;4;0
URGENCIA;URGENCIA;Apoyo industrial;Refrigeracion;REFRIGERADOR ;RECCO;RFR-50AT;BUENO;;;;1;industrial;0;4;0
PEDIATRIA;PEDIATRIA;Apoyo industrial;Refrigeracion;REFRIGERADOR ;RECCO;RFR-50AT;BUENO;;;;1;industrial;0;4;0
Central de Gases Clinicos;Central de Gases Clinicos;Apoyo industrial;Distribucion;Central de Aire a Piston;Ohio Medical;AP750B-ST3 ;BUENO;;;;1;industrial;0;4;0
Central de Gases Clinicos;Central de Gases Clinicos;Apoyo industrial;Distribucion;Central de Vacio;Ohio Medical;S750-ST3 ;BUENO;;;;1;industrial;0;4;0
Central de Gases Clinicos;Central de Gases Clinicos;Apoyo industrial;Distribucion;Manifold ;Ohio Medical;Oxigeno;BUENO;;;;1;industrial;0;4;0
Central de Gases Clinicos;Central de Gases Clinicos;Apoyo industrial;Distribucion;Manifold ;Ohio Medical; Dioxido de carbono;BUENO;;;;1;industrial;0;4;0
Central de Gases Clinicos;Central de Gases Clinicos;Apoyo industrial;Distribucion;Manifold ;Ohio Medical;Oxido Nitroso;BUENO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Coccion;HERVIDOR;FAMAVA;S/INFO;MALO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Coccion;HERVIDOR;FAMAVA;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Coccion;HERVIDOR;FAMAVA;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Coccion;HERVIDOR;FAMAVA;S/INFO;MALO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Coccion;HERVIDOR;FAMAVA;S/INFO;MALO;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;CARRO DE TRANSPORTE DE BANDEJAS Y COMIDA;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;CARRO DE TRANSPORTE DE BANDEJAS Y COMIDA;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;CARRO DE TRANSPORTE DE BANDEJAS Y COMIDA;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;CARRO DE TRANSPORTE DE BANDEJAS Y COMIDA;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;CARRO DE TRANSPORTE DE BANDEJAS Y COMIDA;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;CARRO DE TRANSPORTE DE BANDEJAS Y COMIDA;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;CARRO DE TRANSPORTE DE BANDEJAS Y COMIDA;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;CARRO DE TRANSPORTE DE BANDEJAS Y COMIDA;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;TERMOFUSION;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;TERMOFUSION INOXDABLE 6 LTS;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;TERMOFUSION INOXDABLE 6 LTS;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;TERMOFUSION INOXDABLE 6 LTS;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;TERMOFUSION INOXDABLE 6 LTS;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;TERMOFUSION INOXDABLE 6 LTS;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;TERMOFUSION INOXDABLE 6 LTS;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;TERMOFUSION INOXDABLE 6 LTS;BIGGI;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;BAÑO MARIA;FAMAVA;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;BAÑO MARIA;FAMAVA;S/INFO;REGULAR;;;;1;industrial;0;4;0
CENTRAL ALIMENTACION;CENTRAL ALIMENTACION ZOCALO;Apoyo industrial;Distribucion;BAÑO MARIA;FAMAVA;S/INFO;REGULAR;;;;1;industrial;0;4;0
